timestamp,header_raw,body,body_clean,market_related
2025-05-17 10:27:00,"Donald J. Trump
						

						
							@realDonaldTrump · May 17, 2025, 10:27 AM
						

					

				

			

			

				
					  Original Post","Walmart should STOP trying to blame Tariffs as the reason for raising prices throughout the chain. Walmart made BILLIONS OF DOLLARS  last year, far more than expected. Between Walmart and China they should, as is said, “EAT THE TARIFFS,” and not charge valued customers ANYTHING. I’ll be watching, and so will your customers!!!","Walmart should STOP trying to blame Tariffs as the reason for raising prices throughout the chain. Walmart made BILLIONS OF DOLLARS  last year, far more than expected. Between Walmart and China they should, as is said, “EAT THE TARIFFS,” and not charge valued customers ANYTHING. I’ll be watching, and so will your customers!!!",True
2025-05-09 08:43:00,"Donald J. Trump
						

						
							@realDonaldTrump · May 9, 2025, 8:43 AM
						

					

				

			

			

				
					  Original Post","Many Trade Deals in the hopper, all good (GREAT!) ones!","Many Trade Deals in the hopper, all good (GREAT!) ones!",True
2025-05-02 12:08:00,"Donald J. Trump
						

						
							@realDonaldTrump · May 2, 2025, 12:08 PM
						

					

				

			

			

				
					  Original Post","Maria Bartiromo: “As President Trump would say, it’s going to be the best economy anybody has ever seen. Look, we've got a market that is reflecting that.""","Maria Bartiromo: “As President Trump would say, it’s going to be the best economy anybody has ever seen. Look, we've got a market that is reflecting that.""",True
2025-04-30 09:13:00,"Donald J. Trump
						

						
							@realDonaldTrump · April 30, 2025, 9:13 AM
						

					

				

			

			

				
					  Original Post","This is Biden’s Stock Market, not Trump’s. I didn’t take over until January 20th. Tariffs will soon start kicking in, and companies are starting to move into the USA in record numbers. Our Country will boom, but we have to get rid of the Biden “Overhang.” This will take a while, has NOTHING TO DO WITH TARIFFS, only that he left us with bad numbers, but when the boom begins, it will be like no other. BE PATIENT!!!","This is Biden’s Stock Market, not Trump’s. I didn’t take over until January 20th. Tariffs will soon start kicking in, and companies are starting to move into the USA in record numbers. Our Country will boom, but we have to get rid of the Biden “Overhang.” This will take a while, has NOTHING TO DO WITH TARIFFS, only that he left us with bad numbers, but when the boom begins, it will be like no other. BE PATIENT!!!",True
2025-04-17 08:02:00,"Donald J. Trump
						

						
							@realDonaldTrump · April 17, 2025, 8:02 AM
						

					

				

			

			

				
					  Original Post","Had a very productive call with the President of Mexico yesterday. Likewise, I met with the highest level Japanese Trade Representatives. It was a very productive meeting. Every Nation, including China, wants to meet! Today, Italy!","Had a very productive call with the President of Mexico yesterday. Likewise, I met with the highest level Japanese Trade Representatives. It was a very productive meeting. Every Nation, including China, wants to meet! Today, Italy!",True
2025-04-17 06:12:00,"Donald J. Trump
						

						
							@realDonaldTrump · April 17, 2025, 6:12 AM
						

					

				

			

			

				
					  Original Post","The ECB is expected to cut interest rates for the 7th time, and yet, “Too Late” Jerome Powell of the Fed, who is always TOO LATE AND WRONG, yesterday issued a report which was another, and typical, complete “mess!” Oil prices are down, groceries (even eggs!) are down, and the USA is getting RICH ON TARIFFS. Too Late should have lowered Interest Rates, like the ECB, long ago, but he should certainly lower them now. Powell’s termination cannot come fast enough!","The ECB is expected to cut interest rates for the 7th time, and yet, “Too Late” Jerome Powell of the Fed, who is always TOO LATE AND WRONG, yesterday issued a report which was another, and typical, complete “mess!” Oil prices are down, groceries (even eggs!) are down, and the USA is getting RICH ON TARIFFS. Too Late should have lowered Interest Rates, like the ECB, long ago, but he should certainly lower them now. Powell’s termination cannot come fast enough!",True
2025-04-16 17:48:00,"Donald J. Trump
						

						
							@realDonaldTrump · April 16, 2025, 5:48 PM
						

					

				

			

			

				
					  Original Post",A Great Honor to have just met with the Japanese Delegation on Trade. Big Progress!,A Great Honor to have just met with the Japanese Delegation on Trade. Big Progress!,True
2025-04-07 18:22:00,"Donald J. Trump
						

						
							@realDonaldTrump · April 7, 2025, 6:22 PM
						

					

				

			

			

				
					  Original Post","Secretary of Treasury, Scott Bessent: “Almost 70 countries have now approached us wanting to help rebalance global trade…”","Secretary of Treasury, Scott Bessent: “Almost 70 countries have now approached us wanting to help rebalance global trade…”",True
2025-04-07 10:04:00,"Donald J. Trump
						

						
							@realDonaldTrump · April 7, 2025, 10:04 AM
						

					

				

			

			

				
					  Original Post",This is NOT SUSTAINABLE! The United States can't lose $1.9 trillion on trade…,This is NOT SUSTAINABLE! The United States can't lose $1.9 trillion on trade…,True
2025-04-03 15:17:00,"Donald J. Trump
						

						
							@realDonaldTrump · April 3, 2025, 3:17 PM
						

					

				

			

			

				
					  Original Post",I think it’s going very well—The MARKETS are going to BOOM…,I think it’s going very well—The MARKETS are going to BOOM…,True
