"Date","sigma_hat"
"2024-01-16",NA
"2024-01-17",NA
"2024-01-18",NA
"2024-01-19",NA
"2024-01-22",NA
"2024-01-23",NA
"2024-01-24",NA
"2024-01-25",NA
"2024-01-26",NA
"2024-01-29",NA
"2024-01-30",NA
"2024-01-31",NA
"2024-02-01",NA
"2024-02-02",NA
"2024-02-05",NA
"2024-02-06",NA
"2024-02-07",NA
"2024-02-08",NA
"2024-02-09",NA
"2024-02-12",NA
"2024-02-13",NA
"2024-02-14",NA
"2024-02-15",NA
"2024-02-16",NA
"2024-02-20",NA
"2024-02-21",NA
"2024-02-22",NA
"2024-02-23",NA
"2024-02-26",NA
"2024-02-27",NA
"2024-02-28",NA
"2024-02-29",NA
"2024-03-01",NA
"2024-03-04",NA
"2024-03-05",NA
"2024-03-06",NA
"2024-03-07",NA
"2024-03-08",NA
"2024-03-11",NA
"2024-03-12",NA
"2024-03-13",NA
"2024-03-14",NA
"2024-03-15",NA
"2024-03-18",NA
"2024-03-19",NA
"2024-03-20",NA
"2024-03-21",NA
"2024-03-22",NA
"2024-03-25",NA
"2024-03-26",NA
"2024-03-27",NA
"2024-03-28",NA
"2024-04-01",NA
"2024-04-02",NA
"2024-04-03",NA
"2024-04-04",NA
"2024-04-05",NA
"2024-04-08",NA
"2024-04-09",NA
"2024-04-10",NA
"2024-04-11",NA
"2024-04-12",NA
"2024-04-15",NA
"2024-04-16",NA
"2024-04-17",NA
"2024-04-18",NA
"2024-04-19",NA
"2024-04-22",NA
"2024-04-23",NA
"2024-04-24",NA
"2024-04-25",NA
"2024-04-26",NA
"2024-04-29",NA
"2024-04-30",NA
"2024-05-01",NA
"2024-05-02",NA
"2024-05-03",NA
"2024-05-06",NA
"2024-05-07",NA
"2024-05-08",NA
"2024-05-09",NA
"2024-05-10",NA
"2024-05-13",NA
"2024-05-14",NA
"2024-05-15",NA
"2024-05-16",NA
"2024-05-17",NA
"2024-05-20",NA
"2024-05-21",NA
"2024-05-22",NA
"2024-05-23",NA
"2024-05-24",NA
"2024-05-28",NA
"2024-05-29",NA
"2024-05-30",NA
"2024-05-31",NA
"2024-06-03",NA
"2024-06-04",NA
"2024-06-05",NA
"2024-06-06",NA
"2024-06-07",NA
"2024-06-10",NA
"2024-06-11",NA
"2024-06-12",NA
"2024-06-13",NA
"2024-06-14",NA
"2024-06-17",NA
"2024-06-18",NA
"2024-06-20",NA
"2024-06-21",NA
"2024-06-24",NA
"2024-06-25",NA
"2024-06-26",NA
"2024-06-27",NA
"2024-06-28",NA
"2024-07-01",NA
"2024-07-02",NA
"2024-07-03",NA
"2024-07-05",NA
"2024-07-08",NA
"2024-07-09",NA
"2024-07-10",NA
"2024-07-11",NA
"2024-07-12",NA
"2024-07-15",NA
"2024-07-16",NA
"2024-07-17",0.00728168217082894
"2024-07-18",0.0060903190545006
"2024-07-19",0.00619595565657394
"2024-07-22",0.00623093480704954
"2024-07-23",0.00630524527200388
"2024-07-24",0.00624622480244245
"2024-07-25",0.00979534017489694
"2024-07-26",0.00978429811958448
"2024-07-29",0.00981395886266258
"2024-07-30",0.00974754036414699
"2024-07-31",0.00969904078967307
"2024-08-01",0.00982345160653364
"2024-08-02",0.00993942869485157
"2024-08-05",0.00861678881522621
"2024-08-06",0.0118372760200667
"2024-08-07",0.0105548888501952
"2024-08-08",0.00982615195336057
"2024-08-09",0.011490166003113
"2024-08-12",0.0102985105876604
"2024-08-13",0.00948375886486988
"2024-08-14",0.00983177553497629
"2024-08-15",0.00922249372443244
"2024-08-16",0.00972533083828579
"2024-08-19",0.00915626210353745
"2024-08-20",0.00898711503247718
"2024-08-21",0.00867889530174058
"2024-08-22",0.00782416865390155
"2024-08-23",0.00757029546856842
"2024-08-26",0.00733585687462079
"2024-08-27",0.00687798014312995
"2024-08-28",0.00644634479989121
"2024-08-29",0.00642238869406438
"2024-08-30",0.00613767331393455
"2024-09-03",0.00623621200425205
"2024-09-04",0.00857207313869002
"2024-09-05",0.00833382070828287
"2024-09-06",0.00826612742150225
"2024-09-09",0.0089144621727891
"2024-09-10",0.00859518571058283
"2024-09-11",0.0079680629866381
"2024-09-12",0.00778862551074965
"2024-09-13",0.00754032563956489
"2024-09-16",0.00722039707344856
"2024-09-17",0.00694058060330045
"2024-09-18",0.00672651041280811
"2024-09-19",0.00663419644066549
"2024-09-20",0.00729393511172362
"2024-09-23",0.00705469370622353
"2024-09-24",0.00743001481064204
"2024-09-25",0.00768657553006406
"2024-09-26",0.00787570417947827
"2024-09-27",0.00871162020379503
"2024-09-30",0.00921712062836096
"2024-10-01",0.00889539177015028
"2024-10-02",0.00897541967580321
"2024-10-03",0.00872228099436327
"2024-10-04",0.00853544821597285
"2024-10-07",0.00854431698658947
"2024-10-08",0.00870002140361917
"2024-10-09",0.00869221889202099
"2024-10-10",0.00831979528835165
"2024-10-11",0.00796647675710994
"2024-10-14",0.00770838549205369
"2024-10-15",0.00758205680795317
"2024-10-16",0.00763720821022776
"2024-10-17",0.00742296822202928
"2024-10-18",0.00722262913998924
"2024-10-21",0.00706875675724176
"2024-10-22",0.00695329141309511
"2024-10-23",0.00682837305052149
"2024-10-24",0.00718668389305775
"2024-10-25",0.00702274368083045
"2024-10-28",0.00689080454652642
"2024-10-29",0.00677451211944165
"2024-10-30",0.00665689828961469
"2024-10-31",0.00664335409626865
"2024-11-01",0.00797535867604441
"2024-11-04",0.00767918861456023
"2024-11-05",0.00748947232963095
"2024-11-06",0.00760495547753712
"2024-11-07",0.00916918503029272
"2024-11-08",0.00862898705467197
"2024-11-11",0.00814622847462112
"2024-11-12",0.00780776452894251
"2024-11-13",0.00763796442709864
"2024-11-14",0.00745761668872341
"2024-11-15",0.00747535728674395
"2024-11-18",0.00783373500111374
"2024-11-19",0.00762693038053525
"2024-11-20",0.00747368283629415
"2024-11-21",0.00734133746364192
"2024-11-22",0.00727751696319236
"2024-11-25",0.00819364825737292
"2024-11-26",0.00876773027446661
"2024-11-27",0.00915764839846952
"2024-11-29",0.0094114896892461
"2024-12-02",0.00958482083092406
"2024-12-03",0.00960885393216155
"2024-12-04",0.00938651231474134
"2024-12-05",0.00900839419650131
"2024-12-06",0.0086483432233222
"2024-12-09",0.00831179190533038
"2024-12-10",0.00821772603646116
"2024-12-11",0.00804765084314897
"2024-12-12",0.00801415079333703
"2024-12-13",0.00798663546750113
"2024-12-16",0.00778562099927847
"2024-12-17",0.00764194852692261
"2024-12-18",0.00762047826712182
"2024-12-19",0.00992889122444054
"2024-12-20",0.00942992293296527
"2024-12-23",0.00922361614023325
"2024-12-24",0.00901973804500203
"2024-12-26",0.00830396615194588
"2024-12-27",0.00814898095240764
"2024-12-30",0.0088680898605022
"2024-12-31",0.00821381449044368
"2025-01-02",0.00882517214166122
"2025-01-03",0.00870306547186754
"2025-01-06",0.00829270169939546
"2025-01-07",0.00832237473884092
"2025-01-08",0.00829994669520481
"2025-01-10",0.00817485355786158
"2025-01-13",0.00894001578551481
"2025-01-14",0.00878180631715098
"2025-01-15",0.0083387259675162
"2025-01-16",0.00894815046643708
"2025-01-17",0.0084362889021249
"2025-01-21",0.00846566297374439
"2025-01-22",0.00845887734946254
"2025-01-23",0.00837501338481242
"2025-01-24",0.00840651726675865
"2025-01-27",0.0083797181365916
"2025-01-28",0.00840333342010325
"2025-01-29",0.00840807049473568
"2025-01-30",0.00838422252652329
"2025-01-31",0.00839669998603128
"2025-02-03",0.00840415291505021
"2025-02-04",0.00840230163322405
"2025-02-05",0.00830238825825524
"2025-02-06",0.00831442323394345
"2025-02-07",0.0082600275221012
"2025-02-10",0.00830554806535656
"2025-02-11",0.0082745649161694
"2025-02-12",0.0082586946283514
"2025-02-13",0.00820622819769403
"2025-02-14",0.008125395702237
"2025-02-18",0.00828775178693772
"2025-02-19",0.00872933912553922
"2025-02-20",0.0089597403740009
"2025-02-21",0.00811933794533505
"2025-02-24",0.00826225566551438
"2025-02-25",0.00818545792024535
